181, 294.66, 984.10, 31.10
182, 294.83, 984.08, 31.00
183, 294.92, 984.07, 31.00
184, 295.43, 984.01, 31.00
185, 295.17, 984.04, 31.00
186, 295.26, 984.03, 31.00
188, 295.00, 984.06, 31.00
189, 295.51, 984.00, 31.10
190, 295.26, 984.03, 31.00
191, 294.92, 984.07, 31.00
192, 294.66, 984.10, 31.10
193, 294.66, 984.10, 31.00
194, 295.26, 984.03, 31.00
195, 294.83, 984.08, 31.00
196, 294.58, 984.11, 31.00
197, 294.66, 984.10, 31.00
199, 293.64, 984.22, 31.10
200, 293.98, 984.18, 31.10
201, 293.81, 984.20, 31.10
202, 293.81, 984.20, 31.10
203, 294.32, 984.14, 31.10
204, 294.15, 984.16, 31.10
205, 294.07, 984.17, 31.10
206, 294.41, 984.13, 31.10
207, 294.24, 984.15, 31.10
208, 294.07, 984.17, 31.10
210, 293.98, 984.18, 31.10
211, 294.07, 984.17, 31.10
212, 293.90, 984.19, 31.00
213, 294.32, 984.14, 31.00
214, 294.41, 984.13, 31.00
215, 293.81, 984.20, 31.00
216, 294.07, 984.17, 31.10
217, 294.83, 984.08, 31.10
218, 294.49, 984.12, 31.10
219, 293.30, 984.26, 31.10
221, 294.41, 984.13, 31.10
222, 294.75, 984.09, 31.10
223, 294.83, 984.08, 31.10
224, 294.58, 984.11, 31.10
225, 294.83, 984.08, 31.10
226, 293.73, 984.21, 31.00
227, 294.83, 984.08, 31.00
228, 295.00, 984.06, 31.00
229, 294.75, 984.09, 31.00
230, 295.17, 984.04, 31.10
232, 294.24, 984.15, 31.10
233, 294.58, 984.11, 31.10
234, 294.92, 984.07, 31.10
235, 294.83, 984.08, 31.10
236, 295.09, 984.05, 31.10
237, 294.58, 984.11, 31.10
238, 294.83, 984.08, 31.10
239, 295.17, 984.04, 31.10
240, 294.75, 984.09, 31.10
241, 294.41, 984.13, 31.10
243, 295.09, 984.05, 31.10
244, 295.26, 984.03, 31.10
245, 294.75, 984.09, 31.10
246, 295.35, 984.02, 31.10
247, 295.26, 984.03, 31.10
248, 295.86, 983.96, 31.10
249, 295.51, 984.00, 31.10
250, 294.92, 984.07, 31.10
251, 295.86, 983.96, 31.10
252, 294.75, 984.09, 31.10
254, 296.03, 983.94, 31.10
255, 295.00, 984.06, 31.10
256, 295.43, 984.01, 31.10
